ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,1,18,0.88,27,26,2,62
1,17,5,0.89,29,22,3,63
2,14,21,0.8,28,27,9,69
3,1,1,0.86,25,20,10,70
4,24,21,0.86,22,22,13,73
5,11,9,0.9,21,21,14,74
6,29,12,0.88,21,20,15,75
7,11,4,0.84,21,20,15,75
8,16,5,0.85,23,23,25,85
9,25,11,0.84,30,19,26,86
10,16,16,0.83,28,27,26,86
11,14,3,0.88,22,22,32,92
12,20,9,0.89,25,25,35,95
13,7,9,0.86,27,26,35,95
14,22,12,0.81,21,21,37,97
15,10,3,0.82,27,24,38,98
16,7,10,0.84,24,19,38,98
17,18,25,0.87,30,28,40,100
18,0,1,0.89,25,25,45,105
19,18,12,0.8,25,19,56,116
20,13,10,0.83,26,20,57,117
21,16,24,0.82,28,24,57,117
22,19,3,0.9,23,21,60,120
23,9,26,0.9,21,21,61,121
24,4,17,0.84,24,22,79,139
25,6,28,0.83,26,20,87,147
26,0,15,0.89,23,21,96,156
27,14,24,0.82,30,20,104,164
28,5,24,0.84,20,20,116,176
29,9,2,0.85,30,20,119,179
