ID,x,y,T_costPow
0,5,24,3
1,1,25,3
2,4,7,3
3,21,0,3
4,17,24,3
5,12,25,3
6,1,29,3
7,10,2,3
8,26,26,3
9,24,3,3
10,16,13,3
11,29,7,3
12,4,2,3
13,24,3,3
14,6,8,3
15,25,17,3
16,16,2,3
17,24,19,3
18,27,14,3
19,9,25,3
20,4,25,3
21,27,0,3
22,4,27,3
23,25,25,3
24,10,6,3
25,11,22,3
26,8,7,3
27,9,25,3
28,22,20,3
29,2,3,3
30,28,24,3
31,29,3,3
32,18,7,3
33,24,3,3
34,2,20,3
35,22,11,3
36,19,16,3
37,8,19,3
38,9,27,3
39,21,13,3
40,8,1,3
41,9,27,3
42,12,10,3
43,18,16,3
44,26,5,3
45,10,18,3
46,3,22,3
47,10,22,3
48,21,26,3
49,14,14,3
50,1,3,3
51,6,25,3
52,13,2,3
53,5,25,3
54,17,27,3
55,8,8,3
56,18,22,3
57,20,8,3
58,17,23,3
59,12,11,3
60,0,21,3
61,13,29,3
62,1,27,3
63,27,8,3
64,15,27,3
65,7,3,3
66,12,13,3
67,16,2,3
68,6,6,3
69,7,3,3
70,11,1,3
71,28,25,3
72,5,21,3
73,8,22,3
74,10,22,3
75,28,25,3
76,4,25,3
77,18,23,3
78,25,24,3
79,29,27,3
