ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,6,28,0.85,28,23,24,84
1,23,27,0.82,26,25,104,164
2,1,7,0.87,24,24,54,114
3,26,8,0.87,28,24,66,126
4,18,10,0.81,22,19,102,162
5,25,18,0.88,21,19,41,101
6,11,2,0.85,23,21,45,105
7,10,13,0.81,26,22,41,101
8,7,9,0.88,29,22,71,131
9,14,15,0.87,30,24,21,81
10,18,2,0.83,28,25,44,104
11,5,22,0.87,25,23,7,67
12,20,23,0.89,23,20,0,60
13,26,5,0.88,26,22,4,64
14,22,6,0.87,27,19,19,79
15,3,14,0.82,24,21,44,104
16,18,4,0.88,30,30,42,102
17,10,23,0.88,20,19,94,154
18,28,12,0.85,27,26,49,109
19,8,17,0.85,26,21,23,83
20,22,0,0.81,29,22,32,92
21,1,16,0.86,22,19,21,81
22,15,1,0.84,20,19,109,169
23,11,25,0.85,30,24,68,128
24,4,21,0.83,21,19,70,130
25,5,6,0.89,20,20,109,169
26,20,2,0.89,30,29,118,178
27,23,26,0.81,24,20,95,155
28,27,19,0.8,29,20,47,107
29,15,22,0.84,21,19,42,102
