ID,x,y,workerRge,W_uptime,W_downtime
0,8,18,0.26,21,81
1,6,0,0.24,28,88
2,18,2,0.29,31,91
3,3,0,0.22,105,165
4,4,7,0.26,101,161
5,7,7,0.22,61,121
6,1,6,0.26,86,146
7,19,9,0.27,79,139
8,7,7,0.24,42,102
9,4,15,0.24,101,161
10,13,10,0.26,1,61
11,17,8,0.22,107,167
12,16,15,0.2,22,82
13,6,5,0.24,46,106
14,19,14,0.22,68,128
15,0,4,0.2,56,116
16,16,10,0.21,50,110
17,0,4,0.28,50,110
18,18,7,0.29,5,65
19,11,15,0.21,81,141
20,4,16,0.21,24,84
21,5,6,0.25,108,168
22,6,16,0.28,71,131
23,12,2,0.26,0,60
24,6,0,0.21,113,173
25,6,15,0.27,44,104
26,6,14,0.2,22,82
27,5,16,0.25,78,138
28,3,9,0.3,51,111
29,15,7,0.23,61,121
30,18,18,0.25,66,126
31,4,14,0.22,67,127
32,5,9,0.25,38,98
33,9,11,0.29,45,105
34,18,17,0.23,80,140
35,13,6,0.27,96,156
36,7,4,0.29,20,80
37,18,11,0.21,19,79
38,15,0,0.27,66,126
39,12,19,0.27,88,148
40,18,17,0.23,103,163
41,16,2,0.24,12,72
42,6,13,0.3,61,121
43,18,11,0.26,69,129
44,18,18,0.27,31,91
45,14,10,0.22,42,102
46,15,6,0.29,113,173
47,13,4,0.29,87,147
48,12,17,0.2,106,166
49,0,19,0.29,65,125
