ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,6,3,0.87,26,20,9,69
1,3,2,0.86,21,21,15,75
2,16,2,0.87,24,22,20,80
3,15,13,0.88,30,26,26,86
4,10,7,0.81,25,19,27,87
5,4,12,0.8,28,26,29,89
6,11,2,0.89,27,24,29,89
7,0,9,0.81,27,20,55,115
8,9,14,0.86,25,25,58,118
9,5,14,0.89,28,23,61,121
10,3,11,0.82,28,23,66,126
11,13,11,0.8,29,28,70,130
12,18,10,0.83,23,19,73,133
13,3,1,0.89,27,23,74,134
14,4,12,0.86,21,20,77,137
15,9,9,0.81,23,23,78,138
16,15,0,0.89,30,23,80,140
17,16,4,0.89,29,22,80,140
18,7,3,0.83,25,24,85,145
19,11,0,0.85,28,24,88,148
20,3,1,0.82,22,19,90,150
21,13,2,0.85,28,25,92,152
22,14,8,0.87,21,19,97,157
23,5,10,0.85,21,21,103,163
24,0,8,0.84,28,20,107,167
25,8,10,0.87,24,23,108,168
26,3,14,0.9,25,19,108,168
27,1,10,0.81,29,29,114,174
28,0,19,0.84,23,23,119,179
29,12,11,0.82,30,27,119,179
