ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,0,15,0.55,4,64,10
1,4,1,0.52,116,176,10
2,13,9,0.58,120,180,10
3,3,6,0.54,51,111,10
4,14,13,0.59,55,115,10
5,4,0,0.55,72,132,10
6,16,8,0.52,2,62,10
7,11,19,0.52,12,72,10
8,1,2,0.5,5,65,10
9,19,10,0.53,42,102,10
10,16,7,0.54,18,78,10
11,8,5,0.58,29,89,10
12,5,19,0.59,104,164,10
13,15,18,0.57,49,109,10
14,18,0,0.51,120,180,10
15,17,2,0.59,56,116,10
16,19,9,0.5,99,159,10
17,19,19,0.6,69,129,10
18,2,16,0.6,104,164,10
19,2,8,0.53,104,164,10
