ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,10,15,0.81,28,26,50,110
1,17,13,0.87,28,28,113,173
2,8,29,0.84,22,20,66,126
3,18,13,0.83,24,20,85,145
4,27,0,0.84,24,23,19,79
5,29,27,0.81,21,21,48,108
6,10,26,0.82,26,23,78,138
7,23,13,0.8,30,29,95,155
8,10,25,0.86,23,20,41,101
9,8,9,0.84,21,20,5,65
10,12,17,0.81,26,25,35,95
11,22,7,0.84,29,26,61,121
12,6,8,0.81,28,20,73,133
13,6,14,0.85,24,21,88,148
14,28,25,0.9,30,28,25,85
15,0,21,0.86,20,20,35,95
16,6,12,0.85,29,25,91,151
17,0,11,0.9,27,22,67,127
18,4,0,0.84,30,27,120,180
19,10,16,0.88,28,22,120,180
20,7,5,0.84,25,21,44,104
21,7,5,0.88,23,20,92,152
22,25,13,0.88,27,21,33,93
23,26,4,0.84,21,20,22,82
24,7,5,0.83,25,19,0,60
25,0,19,0.86,25,23,108,168
26,7,20,0.81,25,19,10,70
27,0,14,0.81,28,20,98,158
28,7,5,0.82,23,20,32,92
29,15,17,0.85,22,19,8,68
