ID,x,y,workerRge,W_uptime,W_downtime
0,13,19,0.23,11,71
1,15,3,0.23,2,62
2,10,20,0.3,87,147
3,6,13,0.22,60,120
4,8,9,0.26,75,135
5,5,20,0.29,11,71
6,14,29,0.22,36,96
7,4,13,0.24,82,142
8,16,2,0.25,100,160
9,15,20,0.27,36,96
10,23,1,0.29,79,139
11,27,2,0.21,41,101
12,6,3,0.24,103,163
13,19,20,0.24,100,160
14,15,19,0.24,21,81
15,9,24,0.24,50,110
16,9,20,0.21,108,168
17,18,26,0.26,86,146
18,19,6,0.29,58,118
19,28,16,0.23,12,72
20,16,17,0.23,42,102
21,6,19,0.26,36,96
22,28,5,0.26,67,127
23,5,0,0.24,50,110
24,23,7,0.25,64,124
25,24,25,0.23,5,65
26,6,20,0.21,103,163
27,11,22,0.28,108,168
28,21,15,0.27,59,119
29,23,23,0.22,78,138
30,29,18,0.29,57,117
31,23,24,0.25,62,122
32,10,17,0.25,6,66
33,23,19,0.26,33,93
34,28,2,0.21,112,172
35,14,5,0.28,55,115
36,7,6,0.26,57,117
37,0,0,0.28,64,124
38,28,28,0.3,117,177
39,9,28,0.24,80,140
40,6,12,0.25,116,176
41,12,24,0.28,48,108
42,6,16,0.29,19,79
43,18,3,0.27,91,151
44,20,0,0.3,81,141
45,13,6,0.22,16,76
46,16,22,0.3,73,133
47,4,24,0.25,12,72
48,28,12,0.26,2,62
49,2,9,0.25,19,79
