ID,x,y,T_costPow
0,24,7,2.5
1,23,22,2.6
2,18,1,2.1
3,21,13,2.2
4,1,5,2.3
5,8,13,2.2
6,20,13,2.5
7,14,9,2.6
8,8,13,2.7
9,16,28,2.4
10,28,4,2.1
11,26,21,2.2
12,27,29,2.6
13,3,6,2.2
14,11,14,2.9
15,12,27,2.6
16,29,16,2.7
17,28,14,2.4
18,15,15,2.1
19,2,20,2.2
20,2,17,2.6
21,29,29,2.4
22,23,7,2.5
23,9,27,2.6
24,2,1,2.7
25,29,20,2.4
26,15,10,2.1
27,27,21,2.2
28,27,15,2.6
29,26,11,2.2
30,28,5,2.5
31,23,28,2.6
32,13,11,2.7
33,1,16,2.4
34,25,1,2.1
35,26,2,2.2
36,14,28,2.6
37,0,22,2.2
38,15,15,2.9
39,12,1,2.6
40,18,23,2.7
41,2,7,2.1
42,9,12,3
43,28,22,2.9
44,1,1,2.3
45,21,6,3
46,14,26,3
47,19,7,2.7
48,0,28,2.4
49,19,10,2.1
50,12,20,2.2
51,21,15,2.6
52,11,18,2.2
53,12,28,2.9
54,29,20,2.6
55,15,15,2.2
56,11,21,2.9
57,1,15,2.7
58,22,25,2.4
59,16,26,2.1
60,25,8,2.2
61,25,21,2.6
62,9,22,2.2
63,4,10,2.9
64,29,3,2.6
65,24,8,2.9
66,26,13,2.6
67,17,3,2.7
68,5,21,2.4
69,4,8,2.7
70,21,27,2.4
71,5,24,2.1
72,1,21,2.2
73,29,13,2.6
74,11,14,2.2
75,17,18,2.9
76,1,5,2.6
77,14,29,2.7
78,22,16,2.4
79,14,13,2
