ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,6,0,0.82,30,23,32,92
1,4,17,0.9,30,29,100,160
2,21,6,0.9,28,25,15,75
3,29,27,0.81,24,19,70,130
4,22,16,0.88,25,20,29,89
5,7,10,0.87,30,24,67,127
6,11,24,0.89,20,19,120,180
7,8,12,0.85,24,21,21,81
8,13,14,0.86,22,20,101,161
9,18,13,0.8,22,20,50,110
10,2,27,0.87,21,20,32,92
11,19,17,0.87,26,20,82,142
12,25,15,0.88,21,19,41,101
13,2,20,0.83,20,20,28,88
14,12,16,0.88,29,25,89,149
15,26,8,0.85,29,20,91,151
16,9,28,0.83,24,22,118,178
17,17,23,0.83,24,20,6,66
18,4,21,0.86,26,22,70,130
19,9,22,0.8,25,24,38,98
20,6,0,0.88,22,21,4,64
21,11,24,0.82,23,23,43,103
22,22,28,0.81,24,19,57,117
23,20,21,0.8,30,29,32,92
24,27,29,0.85,21,21,111,171
25,16,12,0.83,24,19,9,69
26,13,24,0.89,30,30,69,129
27,14,2,0.88,20,20,27,87
28,14,17,0.86,22,20,87,147
29,7,29,0.83,21,21,72,132
