ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,12,26,0.9,23,20,1,61
1,29,8,0.85,21,19,2,62
2,27,16,0.89,27,21,2,62
3,10,5,0.87,26,22,10,70
4,21,2,0.81,25,25,11,71
5,9,20,0.86,25,24,23,83
6,11,21,0.89,24,24,26,86
7,10,23,0.8,22,19,28,88
8,6,15,0.83,23,19,33,93
9,4,9,0.89,25,20,34,94
10,1,4,0.89,20,20,43,103
11,26,11,0.8,24,22,55,115
12,23,26,0.84,29,25,63,123
13,22,17,0.89,28,21,76,136
14,5,23,0.82,25,20,81,141
15,17,10,0.83,22,21,90,150
16,19,6,0.89,23,20,96,156
17,26,22,0.81,20,19,113,173
18,29,25,0.81,29,25,114,174
19,15,21,0.86,25,19,118,178
