ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,3,7,0.82,29,29,119,179
1,5,3,0.86,30,22,87,147
2,1,22,0.86,26,21,100,160
3,2,5,0.86,27,21,51,111
4,7,24,0.89,24,22,110,170
5,14,22,0.87,25,23,93,153
6,27,10,0.82,30,24,38,98
7,27,11,0.84,23,20,92,152
8,29,7,0.85,24,22,75,135
9,7,8,0.84,27,24,93,153
10,29,27,0.86,29,23,41,101
11,25,9,0.84,26,26,101,161
12,12,29,0.81,20,19,93,153
13,25,12,0.85,25,21,75,135
14,13,6,0.85,27,22,101,161
15,21,3,0.85,30,24,73,133
16,28,9,0.83,20,20,56,116
17,12,24,0.84,30,26,10,70
18,22,19,0.89,26,19,3,63
19,22,0,0.9,25,21,83,143
20,10,23,0.88,29,22,116,176
21,14,9,0.84,21,20,82,142
22,27,10,0.81,27,27,47,107
23,23,0,0.87,26,25,100,160
24,13,16,0.87,30,28,4,64
25,24,2,0.88,25,23,51,111
26,4,1,0.8,26,25,110,170
27,26,16,0.83,25,24,17,77
28,26,17,0.89,26,19,17,77
29,26,12,0.89,22,19,99,159
