ID,x,y,workerRge,W_uptime,W_downtime
0,26,29,0.26,50,110
1,6,8,0.29,19,79
2,23,1,0.22,76,136
3,15,2,0.29,67,127
4,8,8,0.26,12,72
5,21,16,0.21,104,164
6,8,19,0.21,114,174
7,4,14,0.25,97,157
8,25,8,0.29,68,128
9,1,17,0.28,20,80
10,27,20,0.21,57,117
11,29,4,0.29,12,72
12,9,29,0.23,93,153
13,14,22,0.25,65,125
14,12,18,0.2,69,129
15,5,7,0.23,15,75
16,28,5,0.25,50,110
17,19,5,0.21,111,171
18,16,18,0.29,0,60
19,13,4,0.27,79,139
20,3,25,0.21,87,147
21,23,3,0.21,64,124
22,25,12,0.21,44,104
23,5,25,0.28,107,167
24,9,7,0.26,56,116
25,4,27,0.21,8,68
26,18,9,0.28,98,158
27,6,6,0.25,39,99
28,4,21,0.28,81,141
29,0,22,0.24,64,124
30,1,12,0.2,67,127
31,4,6,0.25,106,166
32,12,13,0.25,58,118
33,14,24,0.24,95,155
34,5,22,0.21,92,152
35,3,13,0.27,72,132
36,14,7,0.23,36,96
37,21,1,0.23,117,177
38,3,24,0.25,19,79
39,20,12,0.29,93,153
40,19,7,0.27,117,177
41,4,13,0.27,55,115
42,24,12,0.3,94,154
43,25,8,0.27,53,113
44,8,25,0.29,110,170
45,8,0,0.28,31,91
46,20,28,0.2,26,86
47,11,27,0.27,15,75
48,18,9,0.27,74,134
49,25,11,0.26,11,71
