ID,x,y,workerRge,W_uptime,W_downtime
0,18,2,0.28,31,91
1,0,15,0.25,33,93
2,10,8,0.26,90,150
3,17,28,0.23,51,111
4,16,28,0.24,84,144
5,21,23,0.29,26,86
6,17,25,0.23,16,76
7,5,28,0.26,8,68
8,23,12,0.29,41,101
9,18,22,0.29,49,109
10,13,10,0.27,19,79
11,17,2,0.2,36,96
12,29,11,0.28,13,73
13,0,21,0.21,58,118
14,17,1,0.22,88,148
15,1,13,0.25,24,84
16,25,0,0.26,57,117
17,0,11,0.29,76,136
18,8,13,0.21,70,130
19,27,22,0.21,14,74
20,3,13,0.29,100,160
21,4,18,0.27,10,70
22,8,3,0.23,70,130
23,8,10,0.21,96,156
24,11,4,0.25,107,167
25,8,27,0.23,99,159
26,12,17,0.22,91,151
27,24,6,0.24,33,93
28,5,16,0.26,27,87
29,12,10,0.26,80,140
30,11,18,0.22,55,115
31,3,9,0.3,106,166
32,15,23,0.29,79,139
33,26,9,0.24,90,150
34,9,2,0.21,7,67
35,11,29,0.23,94,154
36,27,5,0.29,50,110
37,9,24,0.26,44,104
38,3,23,0.22,90,150
39,28,25,0.22,43,103
40,25,18,0.27,41,101
41,1,4,0.3,49,109
42,28,16,0.25,66,126
43,6,11,0.23,55,115
44,9,16,0.25,6,66
45,12,10,0.28,108,168
46,16,19,0.28,112,172
47,23,1,0.29,118,178
48,10,8,0.3,93,153
49,24,26,0.25,16,76
