ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,10,9,0.56,116,176,10
1,24,26,0.51,71,131,10
2,18,4,0.58,82,142,10
3,29,4,0.56,116,176,10
4,15,12,0.57,119,179,10
5,9,15,0.53,6,66,10
6,18,25,0.52,78,138,10
7,27,27,0.54,106,166,10
8,27,21,0.51,31,91,10
9,26,25,0.57,38,98,10
10,23,11,0.59,76,136,10
11,15,6,0.56,93,153,10
12,17,25,0.58,9,69,10
13,21,16,0.52,71,131,10
14,17,15,0.51,115,175,10
15,10,13,0.57,112,172,10
16,5,14,0.51,61,121,10
17,26,11,0.59,88,148,10
18,23,21,0.53,84,144,10
19,29,2,0.56,53,113,10
