ID,x,y,workerRge,W_uptime,W_downtime
0,7,26,0.26,3,63
1,24,0,0.25,3,63
2,27,23,0.24,4,64
3,25,3,0.24,14,74
4,14,27,0.25,22,82
5,20,4,0.21,22,82
6,17,21,0.22,26,86
7,22,11,0.27,33,93
8,9,8,0.3,34,94
9,15,6,0.23,39,99
10,10,1,0.2,39,99
11,19,28,0.23,40,100
12,6,18,0.29,44,104
13,14,29,0.26,45,105
14,2,4,0.3,48,108
15,13,24,0.25,48,108
16,26,26,0.25,50,110
17,7,3,0.2,55,115
18,15,7,0.28,56,116
19,29,20,0.24,59,119
20,8,6,0.23,59,119
21,21,27,0.23,60,120
22,13,13,0.21,63,123
23,2,24,0.27,66,126
24,21,24,0.27,67,127
25,22,3,0.26,67,127
26,22,1,0.29,70,130
27,19,7,0.24,76,136
28,12,4,0.25,76,136
29,26,3,0.25,80,140
30,4,5,0.27,81,141
31,25,27,0.21,85,145
32,1,22,0.28,87,147
33,17,19,0.22,92,152
34,8,3,0.21,92,152
35,18,14,0.21,96,156
36,0,5,0.21,98,158
37,26,10,0.23,99,159
38,27,22,0.28,99,159
39,14,22,0.23,102,162
40,26,2,0.25,103,163
41,16,23,0.22,104,164
42,6,18,0.25,104,164
43,8,0,0.26,105,165
44,17,4,0.25,110,170
45,16,14,0.23,114,174
46,8,27,0.28,116,176
47,28,12,0.21,118,178
48,5,15,0.22,119,179
49,12,4,0.21,119,179
