ID,x,y,workerRge,W_uptime,W_downtime
0,17,21,0.26,37,97
1,5,7,0.25,68,128
2,2,25,0.29,100,160
3,8,26,0.29,87,147
4,10,25,0.28,28,88
5,7,24,0.22,19,79
6,14,18,0.21,102,162
7,8,14,0.25,54,114
8,17,29,0.25,39,99
9,20,16,0.3,110,170
10,4,20,0.22,19,79
11,21,23,0.21,75,135
12,24,27,0.26,66,126
13,23,4,0.29,55,115
14,0,10,0.23,78,138
15,3,16,0.23,30,90
16,19,12,0.22,39,99
17,9,3,0.3,108,168
18,11,17,0.26,3,63
19,28,16,0.25,32,92
20,25,26,0.26,107,167
21,20,27,0.27,56,116
22,26,7,0.3,69,129
23,18,4,0.22,41,101
24,23,6,0.27,27,87
25,21,11,0.2,108,168
26,22,10,0.21,105,165
27,27,27,0.27,32,92
28,26,22,0.27,85,145
29,13,6,0.29,49,109
30,6,13,0.26,35,95
31,5,26,0.29,81,141
32,16,27,0.23,92,152
33,13,6,0.27,38,98
34,15,29,0.2,111,171
35,21,14,0.29,96,156
36,16,23,0.26,0,60
37,15,5,0.28,14,74
38,17,20,0.3,32,92
39,28,7,0.23,45,105
40,6,20,0.21,82,142
41,1,7,0.22,100,160
42,19,27,0.2,104,164
43,4,8,0.21,114,174
44,27,12,0.22,86,146
45,17,10,0.3,46,106
46,19,1,0.27,106,166
47,5,21,0.28,24,84
48,17,2,0.3,45,105
49,19,26,0.3,20,80
