ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,21,9,0.8,24,22,119,179
1,20,9,0.87,20,19,45,105
2,1,11,0.8,29,24,22,82
3,27,12,0.88,25,23,31,91
4,25,23,0.89,20,20,108,168
5,1,12,0.88,22,21,73,133
6,7,26,0.81,24,22,27,87
7,28,3,0.83,21,21,89,149
8,15,21,0.83,30,30,78,138
9,10,25,0.9,22,20,1,61
10,17,8,0.86,24,19,44,104
11,15,11,0.85,20,19,57,117
12,28,8,0.86,21,20,30,90
13,22,19,0.82,21,19,98,158
14,2,16,0.86,26,21,83,143
15,4,29,0.85,21,19,52,112
16,10,1,0.87,29,24,105,165
17,28,3,0.9,27,22,9,69
18,29,18,0.87,23,22,6,66
19,15,5,0.87,24,19,42,102
20,17,25,0.82,24,23,109,169
21,25,12,0.83,30,20,77,137
22,7,14,0.8,23,22,89,149
23,16,17,0.86,27,20,74,134
24,6,6,0.82,26,26,36,96
25,17,15,0.83,23,22,12,72
26,21,16,0.88,22,21,70,130
27,7,14,0.83,27,19,93,153
28,17,7,0.89,21,20,106,166
29,10,20,0.83,20,20,58,118
