ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,3,25,0.83,22,22,86,166
1,21,4,0.87,22,22,10,90
2,28,8,0.85,25,25,59,139
3,10,0,0.83,20,19,98,178
4,18,14,0.85,27,20,63,143
5,21,17,0.81,25,22,72,152
6,2,2,0.83,26,24,100,180
7,8,27,0.8,30,26,89,169
8,5,29,0.87,27,24,92,172
9,13,15,0.83,28,24,8,88
10,15,18,0.89,25,22,48,128
11,22,15,0.83,30,30,67,147
12,24,26,0.89,25,19,7,87
13,8,8,0.88,23,22,18,98
14,18,20,0.82,27,20,14,94
15,13,1,0.89,26,20,37,117
16,18,2,0.88,23,22,10,90
17,29,20,0.84,20,20,24,104
18,3,17,0.83,24,23,91,171
19,23,22,0.89,21,19,0,80
20,28,1,0.89,22,20,82,162
21,9,15,0.8,26,26,16,96
22,19,22,0.86,25,21,97,177
23,13,16,0.84,24,20,66,146
24,13,10,0.81,29,23,95,175
25,3,29,0.87,21,20,87,167
26,6,17,0.83,30,26,42,122
27,1,10,0.87,25,22,96,176
28,2,22,0.82,30,22,83,163
29,7,11,0.87,25,19,97,177
