ID,x,y,T_costPow
0,14,2,3
1,7,8,3
2,1,11,3
3,18,5,3
4,5,17,3
5,1,15,3
6,14,9,3
7,19,2,3
8,4,8,3
9,8,19,3
10,10,3,3
11,19,10,3
12,7,15,3
13,18,19,3
14,19,1,3
15,18,11,3
16,7,11,3
17,1,19,3
18,4,16,3
19,0,19,3
20,2,1,3
21,11,14,3
22,3,0,3
23,8,16,3
24,8,16,3
25,8,1,3
26,4,19,3
27,0,18,3
28,8,5,3
29,3,3,3
30,7,6,3
31,15,6,3
32,11,6,3
33,0,16,3
34,18,14,3
35,18,3,3
36,15,6,3
37,13,9,3
38,13,18,3
39,9,3,3
40,16,18,3
41,10,9,3
42,16,0,3
43,3,10,3
44,6,3,3
45,15,10,3
46,14,3,3
47,9,5,3
48,12,16,3
49,1,9,3
50,9,2,3
51,0,7,3
52,3,19,3
53,17,12,3
54,11,13,3
55,18,18,3
56,12,13,3
57,2,11,3
58,16,12,3
59,10,17,3
60,17,4,3
61,16,1,3
62,15,8,3
63,15,14,3
64,13,11,3
65,8,2,3
66,14,3,3
67,9,11,3
68,5,12,3
69,7,12,3
70,11,4,3
71,9,12,3
72,10,14,3
73,12,19,3
74,18,11,3
75,0,17,3
76,16,8,3
77,11,1,3
78,10,5,3
79,5,9,3
