ID,x,y,T_costPow
0,23,8,3
1,1,3,3
2,15,2,3
3,22,8,3
4,26,17,3
5,17,0,3
6,28,20,3
7,6,24,3
8,0,12,3
9,21,13,3
10,1,7,3
11,20,15,3
12,16,23,3
13,12,22,3
14,10,24,3
15,8,17,3
16,4,24,3
17,19,10,3
18,13,3,3
19,5,9,3
20,15,11,3
21,7,26,3
22,20,12,3
23,25,0,3
24,20,18,3
25,11,29,3
26,21,13,3
27,22,15,3
28,15,0,3
29,13,14,3
30,12,27,3
31,21,17,3
32,25,5,3
33,16,27,3
34,26,24,3
35,1,20,3
36,15,15,3
37,3,9,3
38,22,7,3
39,4,14,3
40,28,20,3
41,11,11,3
42,7,20,3
43,20,22,3
44,14,14,3
45,28,6,3
46,28,22,3
47,11,15,3
48,18,5,3
49,29,24,3
50,1,13,3
51,17,3,3
52,29,11,3
53,27,6,3
54,2,9,3
55,18,29,3
56,9,26,3
57,10,24,3
58,4,8,3
59,24,13,3
60,28,10,3
61,28,13,3
62,4,2,3
63,11,17,3
64,13,22,3
65,25,21,3
66,22,21,3
67,23,22,3
68,18,6,3
69,0,28,3
70,19,23,3
71,23,16,3
72,23,26,3
73,8,11,3
74,9,17,3
75,28,23,3
76,11,4,3
77,6,1,3
78,13,13,3
79,6,24,3
