ID,x,y,workerRge,W_uptime,W_downtime
0,6,8,0.27,93,153
1,19,13,0.21,0,60
2,9,18,0.23,24,84
3,17,14,0.22,100,160
4,3,12,0.29,50,110
5,4,8,0.2,5,65
6,9,17,0.27,20,80
7,10,2,0.2,87,147
8,4,11,0.26,54,114
9,15,18,0.26,85,145
10,8,13,0.3,58,118
11,10,9,0.25,2,62
12,5,1,0.28,95,155
13,12,3,0.28,27,87
14,18,12,0.23,21,81
15,5,7,0.29,85,145
16,2,7,0.26,111,171
17,14,11,0.2,55,115
18,12,11,0.24,36,96
19,9,9,0.22,30,90
20,12,2,0.2,10,70
21,10,6,0.25,8,68
22,15,7,0.25,69,129
23,11,12,0.27,88,148
24,7,14,0.26,57,117
25,3,19,0.21,17,77
26,18,6,0.25,56,116
27,5,19,0.28,63,123
28,2,18,0.3,42,102
29,6,15,0.28,79,139
30,4,1,0.24,114,174
31,15,19,0.28,70,130
32,15,18,0.22,14,74
33,7,2,0.3,69,129
34,14,15,0.29,32,92
35,19,2,0.26,67,127
36,18,13,0.23,76,136
37,19,14,0.21,91,151
38,11,0,0.22,82,142
39,15,8,0.22,29,89
40,19,14,0.24,22,82
41,3,2,0.3,6,66
42,10,14,0.22,82,142
43,3,17,0.27,116,176
44,17,11,0.23,37,97
45,1,7,0.25,78,138
46,14,9,0.21,80,140
47,12,15,0.28,66,126
48,8,5,0.29,74,134
49,10,4,0.22,23,83
