ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,2,19,0.86,27,22,120,180
1,13,5,0.86,24,24,49,109
2,23,16,0.82,22,21,65,125
3,22,7,0.84,24,20,39,99
4,8,15,0.88,27,27,116,176
5,2,6,0.89,21,19,22,82
6,1,11,0.88,28,24,35,95
7,22,21,0.86,26,24,44,104
8,27,21,0.82,28,21,28,88
9,13,19,0.86,22,20,33,93
10,10,21,0.89,22,20,17,77
11,19,14,0.89,29,23,59,119
12,24,0,0.82,26,24,31,91
13,0,15,0.83,29,21,87,147
14,10,2,0.82,25,19,69,129
15,22,29,0.82,28,19,39,99
16,27,17,0.81,25,21,98,158
17,2,12,0.83,24,24,48,108
18,23,8,0.84,29,24,24,84
19,29,1,0.83,29,22,109,169
20,17,12,0.8,25,19,114,174
21,5,10,0.87,23,21,36,96
22,4,16,0.81,25,24,94,154
23,20,6,0.89,20,19,1,61
24,19,24,0.82,22,20,1,61
25,9,28,0.83,25,24,10,70
26,21,10,0.89,20,20,17,77
27,20,0,0.81,23,19,29,89
28,9,27,0.83,30,30,28,88
29,8,6,0.87,27,25,49,109
