ID,x,y,workerRge,W_uptime,W_downtime
0,21,1,0.29,84,124
1,16,21,0.22,1,41
2,13,6,0.28,12,52
3,27,10,0.28,15,55
4,26,24,0.29,123,163
5,24,9,0.3,105,145
6,12,19,0.22,21,61
7,13,12,0.3,88,128
8,18,29,0.25,62,102
9,21,5,0.29,68,108
10,1,19,0.22,103,143
11,2,25,0.27,102,142
12,4,7,0.28,82,122
13,20,26,0.23,93,133
14,27,6,0.26,115,155
15,18,5,0.27,94,134
16,12,21,0.21,55,95
17,8,14,0.23,38,78
18,19,11,0.28,61,101
19,11,2,0.26,93,133
20,11,4,0.3,98,138
21,21,4,0.21,33,73
22,22,15,0.21,96,136
23,3,20,0.28,77,117
24,22,20,0.23,75,115
25,21,9,0.21,39,79
26,23,0,0.27,50,90
27,28,8,0.29,95,135
28,24,19,0.24,81,121
29,6,2,0.26,69,109
30,7,1,0.26,88,128
31,15,4,0.3,94,134
32,27,25,0.3,52,92
33,17,1,0.29,134,174
34,7,10,0.24,133,173
35,24,0,0.3,94,134
36,19,28,0.22,24,64
37,23,2,0.29,78,118
38,28,12,0.26,52,92
39,24,18,0.21,63,103
40,19,4,0.26,42,82
41,15,6,0.25,13,53
42,6,0,0.26,49,89
43,3,3,0.26,19,59
44,18,5,0.24,10,50
45,4,26,0.28,2,42
46,8,11,0.21,118,158
47,22,5,0.3,112,152
48,13,6,0.28,6,46
49,14,8,0.27,55,95
