ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,5,1,0.53,126,166,10
1,16,23,0.54,39,79,10
2,26,27,0.52,109,149,10
3,5,15,0.52,137,177,10
4,4,5,0.56,136,176,10
5,25,22,0.59,60,100,10
6,17,24,0.55,59,99,10
7,2,15,0.54,102,142,10
8,4,21,0.53,39,79,10
9,12,6,0.55,31,71,10
10,10,8,0.59,4,44,10
11,18,6,0.57,110,150,10
12,11,27,0.54,89,129,10
13,3,28,0.59,2,42,10
14,9,5,0.59,57,97,10
15,13,26,0.57,82,122,10
16,7,1,0.55,57,97,10
17,5,14,0.5,115,155,10
18,0,22,0.54,6,46,10
19,14,8,0.54,47,87,10
