ID,x,y,T_costPow
0,23,28,3
1,7,28,3
2,26,22,3
3,13,26,3
4,9,24,3
5,0,9,3
6,28,27,3
7,12,17,3
8,3,7,3
9,8,17,3
10,15,3,3
11,10,18,3
12,5,12,3
13,12,21,3
14,18,24,3
15,24,16,3
16,4,18,3
17,1,6,3
18,3,5,3
19,0,22,3
20,22,11,3
21,3,12,3
22,10,4,3
23,27,13,3
24,23,2,3
25,26,5,3
26,11,24,3
27,4,9,3
28,7,6,3
29,1,22,3
30,21,1,3
31,27,2,3
32,8,13,3
33,14,4,3
34,10,22,3
35,19,11,3
36,18,6,3
37,7,27,3
38,29,11,3
39,24,25,3
40,20,8,3
41,0,20,3
42,5,9,3
43,21,24,3
44,12,17,3
45,6,13,3
46,23,15,3
47,6,13,3
48,10,15,3
49,28,8,3
50,0,13,3
51,11,4,3
52,22,3,3
53,0,20,3
54,24,1,3
55,16,27,3
56,19,16,3
57,28,24,3
58,23,5,3
59,19,4,3
60,12,4,3
61,24,17,3
62,25,29,3
63,8,9,3
64,10,10,3
65,3,12,3
66,12,16,3
67,19,17,3
68,12,3,3
69,12,4,3
70,4,24,3
71,25,17,3
72,6,3,3
73,24,10,3
74,11,28,3
75,21,6,3
76,7,17,3
77,7,9,3
78,19,9,3
79,12,3,3
