ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,27,22,0.89,29,27,84,144
1,25,29,0.84,26,23,87,147
2,9,29,0.88,21,20,10,70
3,13,21,0.85,29,21,20,80
4,22,9,0.89,20,19,99,159
5,9,7,0.83,23,21,91,151
6,13,8,0.81,30,24,105,165
7,19,7,0.89,22,21,11,71
8,7,5,0.8,29,23,15,75
9,22,19,0.88,23,19,89,149
10,21,22,0.88,24,20,83,143
11,27,28,0.9,30,29,19,79
12,28,11,0.85,23,20,65,125
13,24,17,0.86,27,25,16,76
14,8,10,0.87,23,19,18,78
15,16,2,0.82,23,23,114,174
16,29,16,0.83,20,20,15,75
17,25,20,0.88,27,22,68,128
18,17,24,0.89,23,20,120,180
19,13,29,0.86,29,23,88,148
20,5,27,0.89,27,20,120,180
21,9,12,0.88,26,19,7,67
22,19,26,0.86,29,25,1,61
23,22,9,0.85,24,20,28,88
24,29,16,0.9,22,20,13,73
25,15,11,0.82,23,20,69,129
26,23,14,0.88,24,20,88,148
27,13,24,0.89,22,21,82,142
28,25,1,0.86,25,21,64,124
29,19,21,0.83,25,25,8,68
