ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,20,18,0.59,104,164,10
1,25,17,0.51,94,154,10
2,3,25,0.52,114,174,10
3,22,0,0.54,13,73,10
4,21,15,0.55,97,157,10
5,2,19,0.59,88,148,10
6,1,10,0.52,60,120,10
7,6,4,0.52,19,79,10
8,23,19,0.51,52,112,10
9,12,29,0.53,89,149,10
10,8,24,0.5,19,79,10
11,10,16,0.53,72,132,10
12,15,1,0.55,100,160,10
13,28,21,0.51,119,179,10
14,27,4,0.56,67,127,10
15,1,15,0.53,44,104,10
16,21,27,0.54,94,154,10
17,6,22,0.56,73,133,10
18,7,16,0.6,57,117,10
19,27,17,0.59,65,125,10
