ID,x,y,workerRge,W_uptime,W_downtime
0,2,13,0.23,48,108
1,12,15,0.22,21,81
2,4,3,0.29,16,76
3,15,1,0.28,110,170
4,29,23,0.24,116,176
5,14,27,0.27,46,106
6,8,18,0.28,69,129
7,8,5,0.3,112,172
8,26,1,0.24,73,133
9,22,21,0.27,100,160
10,8,26,0.25,50,110
11,10,22,0.22,54,114
12,11,16,0.2,73,133
13,3,10,0.23,104,164
14,5,24,0.29,93,153
15,0,1,0.27,58,118
16,24,6,0.29,24,84
17,3,29,0.26,62,122
18,20,6,0.25,70,130
19,13,11,0.2,50,110
20,15,10,0.22,82,142
21,4,7,0.29,85,145
22,10,16,0.28,7,67
23,0,0,0.29,92,152
24,18,2,0.27,70,130
25,0,0,0.23,60,120
26,18,4,0.3,85,145
27,28,25,0.27,117,177
28,20,11,0.23,26,86
29,21,25,0.26,62,122
30,21,4,0.27,85,145
31,21,12,0.24,36,96
32,4,26,0.23,29,89
33,6,8,0.3,63,123
34,23,26,0.2,34,94
35,16,2,0.28,8,68
36,13,29,0.27,28,88
37,8,23,0.27,59,119
38,21,21,0.23,20,80
39,10,21,0.21,28,88
40,13,4,0.25,72,132
41,15,28,0.29,33,93
42,23,7,0.22,37,97
43,13,27,0.26,108,168
44,7,23,0.28,12,72
45,1,6,0.29,22,82
46,14,23,0.21,23,83
47,14,4,0.25,95,155
48,0,6,0.22,76,136
49,14,29,0.2,36,96
