ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,17,3,0.88,27,23,56,116
1,15,20,0.89,27,27,38,98
2,4,25,0.82,21,21,44,104
3,23,12,0.87,28,22,104,164
4,25,17,0.87,25,21,17,77
5,29,10,0.83,22,19,106,166
6,21,29,0.86,28,27,58,118
7,6,16,0.83,20,19,24,84
8,18,23,0.86,25,22,109,169
9,20,18,0.86,23,23,74,134
10,12,15,0.85,23,20,60,120
11,19,14,0.87,26,24,109,169
12,26,15,0.86,21,19,26,86
13,4,0,0.81,25,21,105,165
14,22,13,0.87,27,21,86,146
15,1,14,0.9,26,23,116,176
16,26,29,0.86,24,19,53,113
17,24,6,0.84,25,20,69,129
18,7,9,0.83,29,26,70,130
19,5,24,0.83,24,21,54,114
20,15,28,0.87,22,22,65,125
21,27,29,0.82,24,19,84,144
22,2,12,0.84,26,23,34,94
23,12,12,0.8,21,19,75,135
24,6,4,0.82,23,20,63,123
25,15,27,0.83,23,22,61,121
26,0,3,0.87,25,24,39,99
27,14,20,0.84,30,19,109,169
28,23,23,0.87,25,25,83,143
29,26,21,0.82,20,19,45,105
