ID,x,y,T_costPow
0,7,16,3
1,5,18,3
2,8,13,3
3,8,24,3
4,13,19,3
5,1,26,3
6,4,9,3
7,9,29,3
8,4,7,3
9,1,12,3
10,17,6,3
11,12,25,3
12,23,9,3
13,26,29,3
14,27,12,3
15,12,26,3
16,9,6,3
17,16,25,3
18,16,1,3
19,13,24,3
20,9,14,3
21,12,23,3
22,18,13,3
23,19,17,3
24,26,21,3
25,11,18,3
26,19,7,3
27,9,16,3
28,17,4,3
29,6,26,3
30,14,21,3
31,3,9,3
32,24,6,3
33,5,29,3
34,20,9,3
35,8,16,3
36,1,8,3
37,24,24,3
38,10,16,3
39,13,1,3
40,19,23,3
41,22,13,3
42,5,0,3
43,2,16,3
44,8,3,3
45,12,18,3
46,11,25,3
47,27,28,3
48,23,23,3
49,25,28,3
50,20,22,3
51,18,24,3
52,23,29,3
53,28,15,3
54,20,25,3
55,14,2,3
56,7,5,3
57,3,25,3
58,2,28,3
59,25,26,3
60,1,7,3
61,6,20,3
62,18,4,3
63,17,2,3
64,3,28,3
65,6,3,3
66,18,22,3
67,24,9,3
68,1,22,3
69,26,5,3
70,12,7,3
71,14,3,3
72,17,25,3
73,15,29,3
74,12,6,3
75,9,15,3
76,21,22,3
77,29,21,3
78,23,12,3
79,5,3,3
80,25,22,3
81,10,18,3
82,14,22,3
83,14,12,3
84,16,9,3
85,7,8,3
86,27,13,3
87,16,6,3
88,26,23,3
89,17,12,3
90,4,4,3
91,27,2,3
92,23,16,3
93,8,4,3
94,15,28,3
95,27,5,3
96,25,21,3
97,18,17,3
98,4,12,3
99,10,10,3
100,11,20,3
101,0,22,3
102,26,26,3
103,22,9,3
104,22,2,3
105,2,25,3
106,10,15,3
107,6,11,3
108,14,11,3
109,8,17,3
110,28,29,3
111,16,22,3
112,26,22,3
113,6,13,3
114,24,17,3
115,9,12,3
116,18,19,3
117,22,4,3
118,15,0,3
119,1,4,3
