ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,25,22,0.52,58,118,10
1,11,5,0.52,17,77,10
2,26,10,0.5,29,89,10
3,17,11,0.55,76,136,10
4,9,4,0.58,54,114,10
5,13,25,0.5,8,68,10
6,4,19,0.57,61,121,10
7,6,16,0.56,22,82,10
8,23,28,0.59,38,98,10
9,0,29,0.54,111,171,10
10,5,27,0.58,71,131,10
11,29,17,0.56,0,60,10
12,7,20,0.54,28,88,10
13,19,4,0.53,95,155,10
14,3,10,0.52,54,114,10
15,23,28,0.53,69,129,10
16,8,14,0.51,49,109,10
17,20,12,0.51,97,157,10
18,17,6,0.6,60,120,10
19,17,27,0.58,33,93,10
