ID,x,y,workerRge,W_uptime,W_downtime
0,8,16,0.3,21,81
1,19,24,0.3,62,122
2,9,16,0.27,31,91
3,7,28,0.28,78,138
4,22,0,0.28,117,177
5,6,14,0.3,102,162
6,19,3,0.21,35,95
7,21,20,0.28,33,93
8,18,15,0.27,80,140
9,22,23,0.29,70,130
10,0,26,0.21,68,128
11,27,11,0.25,10,70
12,23,20,0.28,39,99
13,10,28,0.25,67,127
14,6,7,0.23,88,148
15,29,7,0.25,20,80
16,22,6,0.25,52,112
17,22,25,0.24,50,110
18,15,17,0.27,76,136
19,14,29,0.25,96,156
20,21,3,0.28,105,165
21,8,20,0.2,67,127
22,8,1,0.25,27,87
23,2,16,0.21,96,156
24,0,18,0.22,118,178
25,11,3,0.28,49,109
26,26,23,0.28,91,151
27,2,27,0.27,5,65
28,22,4,0.22,43,103
29,27,20,0.22,107,167
30,23,12,0.24,34,94
31,22,18,0.23,11,71
32,26,24,0.25,110,170
33,22,29,0.3,70,130
34,19,1,0.23,80,140
35,24,21,0.23,6,66
36,4,18,0.23,22,82
37,25,11,0.22,32,92
38,4,22,0.26,74,134
39,28,11,0.28,73,133
40,23,6,0.23,120,180
41,8,28,0.23,11,71
42,22,1,0.26,112,172
43,9,7,0.22,86,146
44,13,17,0.22,55,115
45,28,29,0.27,87,147
46,3,28,0.21,116,176
47,2,7,0.26,91,151
48,7,4,0.27,51,111
49,13,9,0.27,46,106
