ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,27,5,0.89,25,19,7,67
1,3,10,0.9,22,19,49,109
2,20,28,0.83,22,20,84,144
3,15,0,0.82,26,24,3,63
4,20,18,0.8,29,20,89,149
5,20,9,0.82,30,28,45,105
6,19,15,0.8,21,19,72,132
7,5,20,0.88,26,22,8,68
8,25,2,0.86,23,20,1,61
9,0,13,0.88,30,22,78,138
10,0,29,0.86,21,20,40,100
11,13,5,0.86,20,20,53,113
12,0,11,0.8,26,20,90,150
13,7,16,0.87,25,25,117,177
14,8,13,0.87,25,23,55,115
15,6,15,0.83,28,20,91,151
16,8,22,0.88,28,28,12,72
17,24,10,0.83,27,27,31,91
18,23,15,0.85,23,23,112,172
19,9,18,0.82,30,26,55,115
20,5,26,0.81,30,27,6,66
21,2,27,0.88,21,20,70,130
22,9,16,0.84,20,20,118,178
23,18,10,0.86,27,27,65,125
24,18,4,0.82,30,27,3,63
25,6,21,0.82,24,19,31,91
26,13,27,0.82,30,19,101,161
27,5,9,0.84,20,20,97,157
28,1,24,0.84,22,22,9,69
29,12,29,0.81,21,19,104,164
