ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,23,6,0.52,78,138,10
1,10,13,0.55,25,85,10
2,0,5,0.58,63,123,10
3,2,5,0.52,38,98,10
4,25,14,0.51,87,147,10
5,28,18,0.57,110,170,10
6,8,16,0.57,35,95,10
7,8,20,0.55,1,61,10
8,19,2,0.56,75,135,10
9,4,12,0.56,119,179,10
10,29,23,0.54,101,161,10
11,1,26,0.53,38,98,10
12,6,26,0.56,60,120,10
13,6,18,0.57,110,170,10
14,20,26,0.57,70,130,10
15,3,0,0.6,102,162,10
16,0,29,0.5,77,137,10
17,5,6,0.51,61,121,10
18,22,12,0.58,70,130,10
19,23,25,0.52,110,170,10
